Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
DC_3060_trim_R2	1942068	1894319	2330629	3082974	1440060	2818203	2523541	1501443	1779728	2961356	940520	597274	270974	393605	225444	184727	232879	184930	153803	329580	719854	158901	83817	120674	88973	75473	78862	835149	50,66103144
DC_3079_trim_R1	1327663	1764711	2614926	3010585	1532675	2933647	2938495	1692439	1991181	3022292	931178	582008	235831	355135	156401	134422	183686	149230	135559	268658	594046	159778	85846	122435	73343	55671	62622	706785	49,79797348
DC_3079_trim_R2	1315761	1493790	2573833	3241710	1531889	2929890	2935279	1687747	1990346	3025954	931243	583887	250704	374926	200894	151235	180086	149627	136856	269729	594343	160528	86038	122103	74155	55217	63019	710459	50,11309809
DC_3083_trim_R1	2018147	2436864	3055668	2896508	1691585	2898539	3247475	1406005	1377069	2535910	692505	415498	261497	271526	127417	93889	141292	117669	87655	206946	402599	95876	42745	58108	49062	23912	45232	352750	44,1326841
DC_3083_trim_R2	1992708	2073757	3015087	3205374	1689389	2893068	3244316	1401756	1375944	2539167	692227	415963	285014	301102	180199	112928	139181	119032	89665	207963	402687	96620	42801	57658	49470	23841	45413	357618	44,55942965
DC_3099_trim_R1	731540	950326	1195594	1273234	787570	1671065	1717662	1162539	2181313	2770468	870795	719040	247915	431789	237536	174462	267076	197972	228015	502307	707279	245462	179254	152526	154741	90229	108723	900568	60,97827995
DC_3099_trim_R2	721698	764012	1181889	1440093	786376	1669236	1715510	1157124	2181115	2774270	870853	718371	257229	442008	255717	184182	265161	198296	228200	502884	707620	246090	179587	152338	156506	88907	109927	901801	61,21297214
DC_3112_trim_R1	1247447	1574754	1788876	1977242	1030958	1724751	1999128	889484	1443275	1917097	543838	372021	147959	207697	99821	82898	116771	80695	70461	153745	270084	63089	42786	56223	43635	30945	37744	309962	46,39756729
DC_3112_trim_R2	1235363	1333641	1758416	2187106	1029269	1722434	1997043	886069	1442563	1920009	543759	372065	163332	226390	129098	95761	115870	81017	71380	154368	270320	63575	42906	55984	44086	30739	38284	312539	46,79163092
DC_3117_trim_R1	2308927	2857440	2773042	2302250	2185671	1984682	4473371	1682602	1657624	2561700	779498	341739	200635	89235	60196	33706	66372	39759	59390	89481	57877	18448	10347	18273	16894	11177	37151	167339	40,71153948
DC_3117_trim_R2	2284334	2533735	2730372	2584753	2181597	1972632	4471828	1677298	1658414	2563661	779245	341745	226235	128042	99928	51572	64633	40301	61217	90423	57795	18892	10534	18048	17075	11609	37249	171659	41,11066704
GB22_32_trim_R1	1846955	2200955	2963361	3460537	2114697	2728517	5238941	2579180	2420574	5185187	2198599	1002998	585183	564275	374425	241255	305259	262833	237883	493147	323124	162422	82175	75049	63508	47451	72410	837615	50,68631987
GB22_32_trim_R2	1827485	2095687	2902900	3528238	2114789	2717556	5232002	2572315	2419317	5190194	2198292	1004859	604861	596386	429453	261942	302423	263831	240193	495141	322786	163667	82972	74608	63654	49010	72567	841387	50,92497759
GB22_33_trim_R1	4726470	5433331	5381938	3962526	2378349	2318221	3960006	1483675	1207747	2337521	822830	411232	344641	497342	158917	117253	106871	110061	93168	174563	118072	73963	31851	26496	30536	19700	32116	312751	37,58873458
GB22_33_trim_R2	4683870	5196533	5263437	4099211	2378712	2310877	3955030	1480689	1207713	2339059	822098	412653	395657	570139	269452	147730	103092	110195	94750	175750	117854	74578	32087	26229	30975	20195	32318	321264	38,09235535
GB23_01_trim_R1	1204540	1946351	2881058	2605080	2031279	2941759	3512115	1907835	2276401	3980454	1527601	848947	271581	358217	197149	161976	225301	155526	135358	248782	450684	158404	75269	65437	44373	41683	77811	529088	49,32739306
GB23_01_trim_R2	1193978	1833505	2825827	2681560	2029734	2937835	3509503	1902607	2276383	3984099	1527701	853923	282350	382048	245103	179891	222588	156480	136533	249642	450781	159429	75688	65194	45145	41211	77880	533441	49,57998817
GB23_03_trim_R1	859297	1234464	2066883	1703199	1571192	2214660	3281337	1966367	2841774	4778130	1905753	1037723	432450	481035	284452	212489	355277	274528	237997	446853	1238478	295826	167717	157828	107837	82944	116032	1770405	60,60879353
GB23_03_trim_R2	851735	1118693	2029950	1795326	1569503	2210295	3278210	1959206	2839898	4784225	1906467	1042741	437823	495901	319505	225012	352691	275198	239134	447948	1238504	297025	168776	157572	107888	83820	116112	1773769	60,79529677
